index	red ir
1427	23663	27239
1428	23627	27248
1429	23661	27210
1430	23656	27208
1431	23639	27261
1432	23629	27271
1433	23619	27277
1434	23670	27223
1435	23696	27252
1436	23636	27275
1437	23633	27243
1438	23677	27211
1439	23671	27260
1440	23639	27280
1441	23639	27238
1442	23698	27209
1443	23675	27269
1444	23634	27282
1445	23671	27231
1446	23666	27256
1447	23639	27306
1448	23666	27286
1449	23670	27265
1450	23703	27254
1451	23673	27318
1452	23670	27291
1453	23682	27272
1454	23679	27322
1455	23656	27317
1456	23707	27280
1457	23703	27348
1458	23655	27352
1459	23700	27293
1460	23692	27343
1461	23671	27363
1462	23716	27321
1463	23733	27342
1464	23685	27387
1465	23682	27335
1466	23713	27333
1467	23692	27408
1468	23686	27376
1469	23733	27347
1470	23731	27412
1471	23681	27427
1472	23729	27391
1473	23722	27431
1474	23696	27442
1475	23753	27406
1476	23761	27449
1477	23721	27475
1478	23758	27431
1479	23752	27399
1480	23720	27474
1481	23710	27446
1482	23774	27426
1483	23766	27496
1484	23722	27505
1485	23765	27487
1486	23765	27478
1487	23758	27537
1488	23752	27503
1489	23806	27473
1490	23775	27543
1491	23744	27569
1492	23799	27501
1493	23797	27546
1494	23764	27574
1495	23770	27531
1496	23821	27530
1497	23777	27581
1498	23765	27550
1499	23798	27528
1500	23813	27598
1501	23767	27601
1502	23816	27568
1503	23835	27621
1504	23782	27633
1505	23827	27594
1506	23811	27579
1507	23799	27638
1508	23773	27628
1509	23827	27575
1510	23830	27587
1511	23859	27598
1512	23797	27636
1513	23789	27632
1514	23823	27586
1515	23832	27651
1516	23807	27689
1517	23808	27655
1518	23849	27622
1519	23869	27623
1520	23845	27668
1521	23808	27689
1522	23849	27661
1523	23836	27624
1524	23821	27691
1525	23805	27680
1526	23856	27644
1527	23869	27658
1528	23818	27703
1529	23837	27665
1530	23843	27646
1531	23820	27708
1532	23825	27673
1533	23882	27652
1534	23842	27714
1535	23847	27713
1536	23830	27737
1537	23850	27675
1538	23836	27655
1539	23817	27702
1540	23809	27640
1541	23844	27592
1542	23797	27614
1543	23781	27577
1544	23791	27518
1545	23769	27513
1546	23735	27518
1547	23744	27437
1548	23754	27398
1549	23688	27422
1550	23685	27358
1551	23699	27330
1552	23677	27362
1553	23656	27308
1554	23708	27282
1555	23697	27293
